id,INCIDENT,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTDATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT,PRECINCT,OFFENSE_CODE,OFFENSE_TYPE,OFFENSE_CATEGORY,MJ_RELATION_TYPE,NEIGHBORHOOD
37,2015518010,7-Sep-15,,7-Sep-15,4255 N KITTREDGE ST,3195762,1707853,5,522,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,"NON-INDUSTRY",gateway-green-valley-ranch
38,2015621687,24-Oct-15,24-Oct-15,24-Oct-15,4550 S KIPLING ST,3110151,1655944,4,423,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",marston
39,2015581938,6-Oct-15,,6-Oct-15,1332 S CHEROKEE ST,3143338,1677553,3,313,2308,THEFT - FROM BLDG,Larceny,"INDUSTRY",overland
40,2014566258,23-Oct-14,23-Oct-14,24-Oct-14,1955 S BANNOCK ST,3143512,1673321,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
41,2012355975,6-Aug-12,6-Aug-12,6-Aug-12,3054 LARIMER ST,3146378,1703160,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",five-points
42,2014431628,17-Aug-14,17-Aug-14,17-Aug-14,5100 W 38TH AVE,3125864,1705326,1,113,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",west-highland
43,2013254374,1-Dec-12,6-Jun-13,6-Jun-13,1 S WOLFF ST,3127055,1686146,4,411,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"NON-INDUSTRY",barnum-west
44,2016527465,19-Aug-16,19-Aug-16,19-Aug-16,1100 N YUMA CT,3136556,1692610,1,123,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",lincoln-park
45,2012119198,22-Mar-12,22-Mar-12,22-Mar-12,3301 E 42ND AVE,3155008,1707742,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
46,2014409842,4-Aug-14,,6-Aug-14,5100 N TEJON ST,3137451,1712860,1,111,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",chaffee-park
47,2015497371,28-Aug-15,29-Aug-15,29-Aug-15,3814 WALNUT ST,3148591,1705976,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cole
48,2013465955,27-Sep-13,27-Sep-13,27-Sep-13,8600 BLOCK W STANFORD AVE,3113729,1656312,4,423,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",marston
49,2012265207,18-Jun-12,,18-Jun-12,4935 N PEARL ST,3146007,1711682,1,112,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",globeville
50,2012380965,20-Aug-12,20-Aug-12,20-Aug-12,2640 E 43RD AVE,3153008,1708076,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
51,2013237307,27-May-13,27-May-13,27-May-13,2040 S NAVAJO ST,3139649,1672792,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",college-view-south-platte
52,2016171027,18-Mar-16,18-Mar-16,18-Mar-16,2420 S COLORADO BLVD,3157568,1670426,3,314,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",university-hills
53,201491524,21-Feb-14,,21-Feb-14,2028 E COLFAX AVE,3151143,1694813,6,622,1313,ASSAULT - SIMPLE,Simple Assault,"INDUSTRY",cheesman-park
54,2012309584,12-Jul-12,12-Jul-12,12-Jul-12,2042 ARAPAHOE ST,3143416,1699248,6,611,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",five-points
55,201577748,9-Feb-15,9-Feb-15,9-Feb-15,1994 S CHEROKEE ST,3143266,1673126,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
56,2014276904,31-May-14,,31-May-14,2020 S BROADWAY ST,3144349,1672869,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",platt-park
57,201457340,2-Feb-14,2-Feb-14,2-Feb-14,2922 GLENARM PL,3147880,1700732,2,211,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",five-points
58,201699991,16-Feb-16,16-Feb-16,16-Feb-16,183 W ALAMEDA AVE,3142935,1684444,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",baker
59,2012561455,4-Dec-12,,4-Dec-12,4500 BLOCK N WASHINGTON ST,3146519,1708969,1,112,1315,MENACING - FELONY W/WEAP,Agg ASLT-Firearm,"NON-INDUSTRY",globeville
60,2015517042,6-Sep-15,,6-Sep-15,W CEDAR AVE / S RALEIGH ST,3128825,1685050,4,411,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",barnum-west
61,2015280757,22-May-15,22-May-15,22-May-15,3995 E 50TH AVE,3156921,1712528,2,212,3560,DRUG - MARIJUANA SELL,Drug Offenses,"INDUSTRY",elyria-swansea
62,2012190718,7-May-12,,7-May-12,3702 W QUINCY AVE,3130781,1657675,4,423,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",fort-logan
63,2012541366,20-Nov-12,20-Nov-12,21-Nov-12,1201 20TH ST,3142928,1699409,6,612,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",five-points
64,2014409853,5-Aug-14,,6-Aug-14,5926 E COLFAX AVE,3163489,1694951,2,222,2308,THEFT - FROM BLDG,Larceny,"INDUSTRY",montclair
65,2012178189,30-Apr-12,30-Apr-12,30-Apr-12,310 N ST PAUL ST,3154517,1688064,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cherry-creek
66,2012601671,30-Dec-12,30-Dec-12,30-Dec-12,6858 E EVANS AVE,3166312,1672406,3,323,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",goldsmith
67,2012407384,3-Sep-12,3-Sep-12,3-Sep-12,5109 W ALAMEDA AVE,3125923,1684436,4,411,1202,ROBBERY - BUSINESS,Robbery-Business,"INDUSTRY",barnum-west
68,2016496274,5-Aug-16,5-Aug-16,5-Aug-16,2101 15TH ST,3138734,1700098,6,612,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",union-station
69,2016476703,22-Jul-16,22-Jul-16,28-Jul-16,1075 S JASON ST,3140907,1679196,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
70,2012551306,27-Nov-12,28-Nov-12,28-Nov-12,4025 N ELATI ST,3142281,1706594,1,112,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",globeville
71,2016614701,25-Sep-16,,25-Sep-16,1568 S FEDERAL BLVD,3133861,1675958,4,422,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",ruby-hill
72,2016506158,9-Aug-16,10-Aug-16,10-Aug-16,3925 N ONEIDA ST,3166405,1706487,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",northeast-park-hill
73,201222901,17-Jan-12,17-Jan-12,17-Jan-12,10700 E DARTMOUTH AVE,3179718,1665260,3,323,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",kennedy
74,2016630926,2-Oct-16,2-Oct-16,2-Oct-16,1115 S BANNOCK ST,3143433,1678882,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
75,2012147881,11-Apr-12,11-Apr-12,11-Apr-12,1640 E EVANS AVE,3149785,1672387,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",university
76,2014183592,12-Apr-14,12-Apr-14,12-Apr-14,525 N BRYANT ST,3135355,1689083,4,411,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",valverde
77,2014672557,20-Dec-14,,20-Dec-14,2917 S STUART ST,3127958,1666394,4,423,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",harvey-park-south
78,2016639543,5-Oct-16,5-Oct-16,5-Oct-16,1454 N SYRACUSE ST,3169185,1694813,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"NON-INDUSTRY",east-colfax
79,2015637687,31-Oct-15,31-Oct-15,31-Oct-15,884 S IVY ST,3163121,1680528,3,322,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",washington-virginia-vale
80,2015320168,9-Jun-15,,9-Jun-15,2568 S BROADWAY ST,3144350,1669345,3,313,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",rosedale
81,2012422999,12-Sep-12,12-Sep-12,12-Sep-12,5885 E EVANS AVE,3163373,1672717,3,322,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",virginia-village
82,2012181104,1-May-12,1-May-12,1-May-12,4513 N FAIRPLAY WAY,3192091,1708266,5,521,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,"NON-INDUSTRY",montbello
83,2016606162,21-Sep-16,,21-Sep-16,2675 W 38TH AVE,3134819,1705508,1,111,3560,DRUG - MARIJUANA SELL,Drug Offenses,"INDUSTRY",sunnyside
84,2014159511,29-Mar-14,,29-Mar-14,1100 BLOCK S JULIAN ST,3132045,1678951,4,421,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",mar-lee
85,20136001199,2-Feb-13,2-Feb-13,2-Feb-13,2895 S HIGH ST,3150431,1667309,3,313,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",university
86,2013127962,20-Mar-13,20-Mar-13,20-Mar-13,1660 E 40TH AVE,3149731,1706807,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cole
87,2012322552,19-Jul-12,19-Jul-12,19-Jul-12,1201 W CUSTER PL,3140182,1682761,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
88,2013484587,8-Oct-13,8-Oct-13,8-Oct-13,4414 N VINE ST,3151174,1708722,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
89,2016148661,8-Mar-16,8-Mar-16,8-Mar-16,816 S UMATILLA WAY,3137365,1680931,4,412,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",athmar-park
90,2013608747,19-Dec-13,19-Dec-13,19-Dec-13,205 N YUMA ST,3136295,1687715,4,411,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",valverde
91,201499873,26-Feb-14,26-Feb-14,26-Feb-14,9700 E ILIFF AVE,3176311,1670689,3,323,2308,THEFT - FROM BLDG,Larceny,"NON-INDUSTRY",hampden
92,2016415402,2-Jul-16,,2-Jul-16,550 N ALTON WAY,3174900,1689147,3,321,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",lowry-field
93,2012288888,30-Jun-12,30-Jun-12,1-Jul-12,3682 N LOCUST ST,3164763,1705505,2,221,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",northeast-park-hill
94,2014372844,18-Jul-14,18-Jul-14,18-Jul-14,1499 N BROADWAY ST,3144130,1694794,6,611,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",civic-center
95,2012481770,16-Oct-12,16-Oct-12,16-Oct-12,3424 LARIMER ST,3147631,1704433,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",five-points
96,2016666072,17-Oct-16,17-Oct-16,17-Oct-16,5000 E 41ST AVE,3160305,1706930,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",northeast-park-hill
97,2012443060,19-Sep-12,19-Sep-12,23-Sep-12,1531 N LEYDEN ST,3164370,1695245,2,222,2308,THEFT - FROM BLDG,Larceny,"NON-INDUSTRY",south-park-hill
98,2015288724,26-May-15,26-May-15,26-May-15,1250 5TH ST,3137727,1695300,1,123,3560,DRUG - MARIJUANA SELL,Drug Offenses,"NON-INDUSTRY",auraria
99,2015288724,26-May-15,26-May-15,26-May-15,1250 5TH ST,3137727,1695300,1,123,1313,ASSAULT - SIMPLE,Simple Assault,"NON-INDUSTRY",auraria
100,2013459066,24-Sep-13,24-Sep-13,24-Sep-13,1201 W CUSTER PL,3140182,1682761,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
101,2015166696,26-Mar-15,27-Mar-15,27-Mar-15,1101 S BANNOCK ST,3143377,1678960,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
102,2016339678,31-May-16,,31-May-16,1173 S BANNOCK ST,3143383,1678545,3,313,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",overland
103,201311461,8-Jan-13,8-Jan-13,8-Jan-13,2252 S KALAMATH ST,3140613,1671365,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",college-view-south-platte
104,2016794394,13-Dec-16,13-Dec-16,13-Dec-16,1135 S JASON ST,3140880,1678789,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",ruby-hill
105,2012289197,30-Jun-12,30-Jun-12,1-Jul-12,4981 E CORNELL AVE,3160429,1667378,3,314,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",university-hills
106,2012289197,30-Jun-12,30-Jun-12,1-Jul-12,4981 E CORNELL AVE,3160429,1667378,3,314,2204,BURG/AUTO THEFT-RESD NO FORCE,Burglary,"NON-INDUSTRY",university-hills
107,2015470998,17-Aug-15,17-Aug-15,17-Aug-15,1995 N QUINCE ST,3167995,1697602,2,223,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",east-colfax
108,2015725807,14-Dec-15,14-Dec-15,14-Dec-15,3930 BLAKE ST,3148766,1706573,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
109,2012224241,26-May-12,26-May-12,26-May-12,1031 W CENTER AVE,3140685,1682437,4,412,5707,CRIMINAL TRESPASSING,All Other Crimes,"INDUSTRY",athmar-park
110,2012132878,31-Mar-12,1-Apr-12,1-Apr-12,1445 S PEARL ST,3146125,1676779,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",platt-park
111,2016487624,2-Aug-16,2-Aug-16,2-Aug-16,2042 S BANNOCK ST,3143656,1672758,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
112,2012265827,18-Jun-12,18-Jun-12,18-Jun-12,200 S JULIAN ST,3131981,1685006,4,411,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,"NON-INDUSTRY",barnum
113,2012320910,18-Jul-12,18-Jul-12,18-Jul-12,7801 E COLFAX AVE,3169510,1695148,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",east-colfax
114,2015513377,4-Sep-15,5-Sep-15,5-Sep-15,970 N LINCOLN ST,3144639,1691795,6,623,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",capitol-hill
115,2013165323,13-Apr-13,13-Apr-13,13-Apr-13,3221 N HIGH ST,3150386,1703081,2,211,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,"NON-INDUSTRY",cole
116,2015517653,7-Sep-15,7-Sep-15,7-Sep-15,5231 N MONROE ST,3155803,1714030,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
117,2013536901,6-Nov-13,7-Nov-13,7-Nov-13,5140 N CLARKSON ST,3147033,1713064,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
118,20146005194,3-Jun-14,12-Jun-14,12-Jun-14,4300 N STEELE ST,3154760,1708204,2,212,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"NON-INDUSTRY",elyria-swansea
119,20165003234,14-Aug-16,15-Aug-16,15-Aug-16,2777 S COLORADO BLVD,3157354,1667895,3,314,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",wellshire
120,2013182283,23-Apr-13,,24-Apr-13,2301 7TH ST,3136478,1699246,1,123,1316,THREATS TO INJURE,All Other Crimes,"INDUSTRY",jefferson-park
121,2014503546,23-Sep-14,23-Sep-14,23-Sep-14,4690 N BRIGHTON BLVD,3149975,1710084,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
122,2012388059,24-Aug-12,24-Aug-12,24-Aug-12,4238 N YORK ST,3151970,1707893,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
123,201429889,18-Jan-14,18-Jan-14,18-Jan-14,1445 S PEARL ST,3146125,1676779,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",platt-park
124,2012118510,23-Mar-12,,23-Mar-12,7801 E COLFAX AVE,3169510,1695148,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",east-colfax
125,2013250916,4-Jun-13,4-Jun-13,4-Jun-13,1755 S BROADWAY ST,3144171,1674691,3,313,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",overland
126,2016238291,17-Apr-16,,17-Apr-16,5227 N MONROE ST,3155817,1714011,2,212,2308,THEFT - FROM BLDG,Larceny,"INDUSTRY",elyria-swansea
127,2013532283,31-Oct-13,31-Oct-13,4-Nov-13,4140 N YORK ST,3152160,1707589,2,212,2205,BURGLARY - BUSINESS NO FORCE,Burglary,"INDUSTRY",elyria-swansea
128,2013127272,7-Dec-12,21-Feb-13,19-Mar-13,4571 N IVY ST,3162941,1709422,2,221,2399,THEFT - OTHER,Larceny,"INDUSTRY",northeast-park-hill
129,2013295287,28-Jun-13,,28-Jun-13,1499 N BROADWAY ST,3144130,1694794,6,611,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,"NON-INDUSTRY",civic-center
130,2012469188,8-Oct-12,8-Oct-12,8-Oct-12,6302 E COLFAX AVE,3164607,1694932,2,222,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",montclair
131,201383072,20-Feb-13,20-Feb-13,20-Feb-13,4773 N FOX ST,3142062,1710572,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
132,2012104650,13-Feb-12,13-Feb-12,14-Mar-12,2949 W ALAMEDA AVE,3133738,1684368,4,411,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,"INDUSTRY",valverde
133,2015683975,22-Nov-15,22-Nov-15,22-Nov-15,2001 S PLATTE RIVER DR,3140363,1673072,4,422,2205,BURGLARY - BUSINESS NO FORCE,Burglary,"INDUSTRY",college-view-south-platte
134,2014514047,28-Sep-14,,28-Sep-14,3397 W VIRGINIA AVE,3131950,1683082,4,412,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",westwood
135,2015351236,24-Jun-15,24-Jun-15,24-Jun-15,5110 N RACE ST,3150881,1712463,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
136,2012205939,13-May-12,14-May-12,16-May-12,527 E MISSISSIPPI AVE,3145981,1679128,3,312,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",washington-park-west
137,2012504168,26-Oct-12,29-Oct-12,29-Oct-12,3225 E 42ND AVE,3154943,1707779,2,212,2999,CRIMINAL MISCHIEF - MTR VEH,Criminal Mischief-Vehicle,"INDUSTRY",elyria-swansea
138,2012328377,22-Jul-12,22-Jul-12,22-Jul-12,80 S PENNSYLVANIA ST,3145914,1685772,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",speer
139,2014481540,11-Sep-14,,11-Sep-14,356 N BROADWAY ST,3144196,1688213,3,311,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",speer
140,2015549237,21-Sep-15,21-Sep-15,21-Sep-15,1550 N BROADWAY ST,3144340,1695281,6,621,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",north-capitol-hill
